Project,ReflectiveTarget,Type
boot-dubbo,org.h2.store.fs.FilePathNioMapped,Type 2
boot-dubbo,org.h2.store.fs.FilePathNio,Type 2
boot-dubbo,org.h2.store.fs.FilePathMemLZF,Type 2
boot-dubbo,org.h2.store.fs.FilePathMem,Type 2
boot-dubbo,org.h2.store.fs.FilePathDisk,Type 2
boot-dubbo,org.h2.engine.Engine,Type 2
boot-dubbo,org.apache.ibatis.logging.slf4j.Slf4jImpl,Type 2
boot-dubbo,org.apache.ibatis.logging.log4j.Log4jImpl,Type 2
boot-dubbo,org.springframework.transaction.PlatformTransactionManager,Type 3
boot-dubbo,org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean,Type 3
boot-dubbo,org.springframework.jmx.export.MBeanExporter,Type 3
boot-dubbo,org.springframework.jdbc.datasource.embedded.EmbeddedDatabaseType,Type 3
boot-dubbo,org.springframework.jdbc.core.JdbcTemplate,Type 3
